index,Sek_1,Sek_2,Sek_3,Sek_4,Sek_5,Sek_6,Sek_7,Sek_8,Sek_9,Sek_10,Sek_11,Sek_12,Sek_13,Sek_14,Sek_15,Sek_16,Sek_17,Sek_18,Sek_19,Sek_20,Sek_21,Sek_22,Sek_23,Sek_24,Sek_25,Sek_26,Sek_27,Sek_28,Sek_29,Sek_30,Sek_31,Sek_32,Sek_33,Sek_34,Sek_35,Sek_36,Sek_37,Sek_38,Sek_39,Sek_40,Sek_41,Sek_42,Sek_43,Sek_44,Sek_45,Sek_46,Sek_47,Sek_48,Sek_49,Sek_50,Sek_51,Sek_52,Sek_53,Sek_54,Sek_55,Sek_56,Sek_57,Sek_58,Sek_59,Sek_60,Sek_61,Sek_62,Sek_63,Sek_64,Toplam Ara Tüketim,Hanehalkı,Devlet,Yatırım,İhracat,Toplam Kullanım
Urun_60,0.02,9.97,2.18,3302.90,51219.33,201.42,0.00,10993.61,1495.05,5987.11,9882.04,6847.75,4681.97,3816.24,2456.26,9333.73,1282.38,2101.71,2465.00,6886.99,630.18,4252.05,123.54,163.05,10.57,257.29,2682.73,14420.35,107407.65,59193.75,2082.93,9205.56,14232.39,2470.55,1587.90,25998.73,4019.93,139941.52,120294.67,13644.49,0.00,394.88,0.00,1118.36,0.00,10680.56,3629.34,0.00,307750.90,1008.71,577.97,244.48,0.00,3159.24,11365.38,5204.23,34130.26,58.85,279953.90,370715.58,77.13,0.00,0.00,0.00,1675655.28,4634880.33,2421018.11,-1395.75,8234.01,8738391.98
Urun_61,78005.35,66.35,0.00,5168.92,38030.39,30508.99,2437.07,6274.49,3287.69,17724.67,13072.25,3856.33,9460.71,14749.95,33652.28,44253.55,1685.17,13406.60,15506.15,20535.31,2115.18,13155.74,6407.87,10039.15,24393.42,2952.59,32650.92,46859.24,171693.36,337202.04,199465.13,2444.20,11328.14,58115.17,3143.01,44335.90,2000.25,6707.25,18835.58,2818.12,75386.64,6024.06,29269.30,3197.75,0.00,58162.21,42183.69,499.02,5978.26,16113.26,2096.07,3944.69,337560.72,9548.87,8899.77,12112.42,9720.22,858.70,953.04,7624.40,565580.00,15609.45,5753.68,0.00,2565420.66,2804082.33,4552902.97,0.00,0.00,9922405.95
Urun_62,256.00,655.72,0.00,8171.61,55735.03,77719.70,9614.68,10717.59,5892.38,53.54,24055.29,4677.84,30401.27,20456.92,15034.81,25602.91,1453.02,16099.97,13468.54,32649.38,3253.45,11253.94,1815.80,30363.86,1622.37,2204.85,44129.51,12251.51,225465.10,171473.85,19777.40,13783.74,7307.12,23893.68,3555.36,85251.10,1918.08,2174.37,74233.09,56265.09,127.99,8954.27,12746.18,8084.50,1722.96,16619.96,7552.01,361.08,10112.96,2600.48,4778.68,120.82,6555.59,10268.40,10742.82,15739.57,62433.44,5431.85,1478.32,11905.06,32406.33,51322.12,36365.73,0.00,1463140.61,7399911.62,0.00,0.00,0.00,8863052.23
Urun_63,0.06,53.74,2928.61,0.00,0.00,3289.15,0.00,1043.75,0.00,0.00,468.95,0.00,7502.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.21,0.00,0.00,0.00,0.00,0.00,258.76,61407.08,0.00,8655.72,7939.02,0.00,0.00,0.00,0.00,50102.88,0.00,7726.79,0.00,0.00,0.00,88.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2463.00,2088.45,0.00,13497.88,0.00,0.00,3290.51,96216.98,0.00,7681.58,0.00,276705.38,12516441.91,8250.13,0.00,1098.12,12802495.53
Urun_64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,781733.27,0.00,0.00,0.00,781733.27
Toplam,60435755.46,574082.74,800437.72,9213164.28,92894865.34,80284548.66,5855844.19,7662425.06,3929997.18,6072356.32,14511618.46,3432546.12,17839199.90,25430731.00,46153244.71,22208776.27,3510009.06,20227369.63,15293291.76,27607083.18,2627277.87,19850201.96,4479625.48,67622169.99,2381364.61,7687206.15,164034874.32,10537976.91,44311316.85,47219738.46,74688140.30,6276606.69,9842628.00,9871498.89,3243292.52,35798557.65,2935934.87,4485647.78,12304449.25,2932417.56,15872362.98,6279062.58,2144778.72,14072315.29,11235301.66,5105819.11,5054933.79,353829.26,10270697.04,2142912.60,1123262.49,378483.99,10311627.28,6951749.79,32978341.90,10667176.46,24193035.96,1283457.16,3934281.19,4499629.77,3926888.68,2710350.41,5765674.93,0.00,1178324246.14,890986415.68,218368456.46,366723086.97,302359889.64,2956762094.88
İthalat Ürün Kullanımı,9253850.34,61988.47,117226.18,2142574.80,17545960.92,18587923.94,1666891.78,4947298.90,1614246.24,29829841.16,13012084.00,1878528.30,12064215.15,5185335.41,30292642.64,7200255.45,2833910.18,9416572.81,7136193.38,16816261.38,1167502.34,5352395.01,1714289.24,27418860.95,235856.42,3090981.22,20448833.65,2537914.57,4624618.41,4252774.21,14032019.15,1268564.98,3458020.48,1301587.83,324649.32,3955397.75,427451.65,836674.19,673552.10,294273.01,784259.07,1154430.69,121219.81,3370201.01,1830046.53,422282.08,448715.60,94524.99,846980.07,364249.73,163195.38,20825.65,1401686.39,1272407.26,3776863.40,773154.27,3759988.93,141237.65,171304.37,349718.69,320190.24,879631.15,1036678.71,0.00,312523809.57,52133422.43,4570737.09,58822388.37,20274605.73,448324963.19
Ürün Vergi Eksi Sübvansiyon,2140268.40,26238.72,91906.08,1166146.41,1720057.65,2396683.35,305996.81,704309.06,251652.59,5333580.12,1998342.36,225350.87,1641697.98,1849891.97,4430679.59,1328512.18,455707.98,1602323.92,1101262.72,2445844.93,193838.61,865721.62,312755.15,5341162.69,91524.37,556346.04,6301085.57,755784.77,2641214.75,2387573.22,12296940.01,779102.61,3120283.46,684732.26,227701.81,2448398.31,96376.06,67269.84,1093437.01,101581.42,950853.40,405950.06,79651.96,863867.90,586003.55,239230.04,170705.31,21511.81,252632.18,80164.54,120254.33,15141.81,268248.98,428165.06,2250022.97,487229.21,626359.03,64394.94,105426.70,115397.11,151794.48,196610.42,442371.86,0.00,80501270.94,81978907.76,462508.93,18736868.57,2579790.48,
Cif / Fob Düzeltmesi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8935252.45,-8935252.45
Yer. Yrt. Dış. Doğ. Sat. Alım,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9190306.29,0.00,0.00,0.00,9190306.29
Yerl. Olm. Yurtiçi. Doğ. Alım,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-55221007.97,0.00,0.00,55221007.97,0.00
