index,Sek_1,Sek_2,Sek_3,Sek_4,Sek_5,Sek_6,Sek_7,Sek_8,Sek_9,Sek_10,Sek_11,Sek_12,Sek_13,Sek_14,Sek_15,Sek_16,Sek_17,Sek_18,Sek_19,Sek_20,Sek_21,Sek_22,Sek_23,Sek_24,Sek_25,Sek_26,Sek_27,Sek_28,Sek_29,Sek_30,Sek_31,Sek_32,Sek_33,Sek_34,Sek_35,Sek_36,Sek_37,Sek_38,Sek_39,Sek_40,Sek_41,Sek_42,Sek_43,Sek_44,Sek_45,Sek_46,Sek_47,Sek_48,Sek_49,Sek_50,Sek_51,Sek_52,Sek_53,Sek_54,Sek_55,Sek_56,Sek_57,Sek_58,Sek_59,Sek_60,Sek_61,Sek_62,Sek_63,Sek_64,Toplam Ara Tüketim,Hanehalkı,Devlet,Yatırım,İhracat,Toplam Kullanım
Urun_11,2420993.43,8053.32,10753.61,200392.03,787487.06,4276624.20,418092.86,817558.44,390994.75,195002.80,5155217.31,388825.32,4137341.45,828300.75,641843.92,491135.49,86143.03,605576.12,159289.97,372996.04,49298.44,685209.36,74250.56,3653.86,24535.76,190191.43,1570769.70,169040.03,296389.29,257349.12,48384.57,1899.03,1.76,26632.22,257.24,309778.71,20246.94,19497.49,1053.00,613.79,19471.90,2106.65,14438.76,526382.20,631272.02,778.80,13730.21,14186.63,12670.53,111154.08,14963.57,6.02,1909.25,313693.37,253766.71,63261.59,242079.14,15410.04,1345.82,64497.16,30311.72,31892.97,231436.94,0.00,28752440.29,4677917.15,0.00,-556235.10,10868325.44,43742447.78
Urun_12,112902.97,0.00,314.82,84.83,48462.10,1138.41,51.73,3006.77,0.31,9.31,976.83,362753.95,15.34,218.06,0.00,0.00,0.00,493.12,626.18,5158.99,14.37,3833.30,6.45,11.94,6.96,0.00,0.12,1.68,42379.93,19066.52,28.75,0.00,0.00,9.01,0.00,179.50,0.00,0.34,0.00,0.00,0.00,0.00,0.08,382.46,0.00,0.00,0.54,1024.76,0.00,88751.01,22.09,0.00,0.00,31.66,11810.06,35741.28,1311228.45,2024.94,0.00,66639.32,17701.21,0.00,385.85,0.00,2137496.30,1148624.67,4592122.47,-583524.18,1446429.60,8741148.86
Urun_13,442432.24,9412.80,6111.78,147402.11,2363779.11,1007658.81,118195.72,476922.16,144366.42,36888.41,529113.34,158961.93,3678247.91,285135.47,99593.63,458449.96,151950.65,1537103.82,510627.40,1536891.12,118318.28,1005698.68,121332.27,59839.63,115316.07,21182.63,5865823.71,394562.89,598789.71,470331.03,1541667.51,5853.49,0.00,49577.76,32519.50,99816.90,1590.52,8898.33,14447.73,91.53,4087.36,500.42,3578.58,834833.71,1027088.58,11193.70,34461.24,729.41,5591.77,15380.34,10435.48,0.00,4898.69,162186.50,174536.95,8947.98,94526.18,1180.29,1036.33,3404.82,10288.57,82525.95,168333.32,0.00,26884649.16,4844858.89,0.00,1124698.48,10770942.67,43625149.21
Urun_14,106151.50,28725.87,0.14,197939.76,450672.08,33077.31,22024.29,5258.26,1353.51,5348.56,116164.88,41401.33,394527.50,5952075.49,326753.60,300427.52,10497.91,326031.05,149284.44,425849.23,24472.66,195574.61,184108.62,128261.06,28938.79,29394.50,25528786.97,245611.98,436343.72,132810.90,827762.93,389.68,0.00,238.50,131.80,151866.99,0.00,3979.13,2223.30,374.91,0.00,0.00,0.00,1475148.55,1808972.31,0.00,49047.01,48140.58,1251.08,18476.42,36448.68,0.00,2340.26,74036.69,396264.52,1780.60,415640.12,526.11,7515.19,3984.77,76614.71,8038.92,58681.95,0.00,41297743.76,2216294.95,0.00,807064.46,6798228.37,51119331.53
Urun_15,3248.50,1414.53,282.57,261007.85,66704.75,31446.63,58869.26,33062.53,42096.06,16085.93,59075.69,7330.39,534593.23,278802.81,12965592.60,9676608.72,211176.07,5280975.61,4784104.67,5806027.94,547993.92,2242761.14,791008.13,59280.42,39445.88,88297.27,18400808.89,35411.09,424623.95,199502.40,143683.56,17749.35,0.00,33053.66,100.30,72410.09,559.60,0.00,3281.53,0.00,0.00,0.00,0.00,21343.91,17268.54,0.00,52797.11,2351.74,15751.05,37263.79,30118.56,0.00,2785.44,34244.30,11346.83,196.31,163.95,348.71,60.86,2490.77,15.45,24424.39,61497.92,0.00,63532947.20,0.00,0.00,1979340.21,31213783.25,96726070.66
Urun_16,31303.27,8817.38,1192.52,116396.73,442358.23,242949.90,62544.30,21598.15,6258.39,10004.61,177444.53,1806.05,307329.59,90278.76,493593.80,2444444.91,149196.70,882476.58,1069390.95,1045814.85,188689.23,594478.70,356469.99,6909.49,14468.76,36466.94,11113784.66,140828.03,298215.27,741231.42,962777.11,257.22,0.00,31116.72,1334.77,9825.27,34655.43,1596.54,42154.46,263.83,0.00,0.00,319.27,357771.32,440886.99,1539.86,8319.24,328.49,48.71,9161.45,14391.05,0.00,8203.51,18144.05,844731.48,8742.20,29668.55,578.01,17004.30,4901.01,13516.50,77507.51,13456.81,0.00,24049944.38,1877748.87,0.00,11897760.48,11719376.39,49544830.12
Urun_17,4851.80,773.22,13.41,3025.95,692.46,360.91,0.94,802.12,2379.10,910.32,3720.05,93.58,1312.93,1135.80,327.77,28065.12,733539.69,200187.12,41821.02,167393.66,8051.49,5214.23,64901.16,52994.06,2814.32,2672.97,97747.92,9425.44,16328.15,24793.41,9511.91,151.85,0.00,205.40,1013.93,330.31,2388.31,42866.03,135426.70,33781.68,4424.25,0.00,84.92,352.60,324.95,3778.27,16018.94,5120.25,4402.71,3615.32,208.15,0.00,34.90,139254.13,24461.73,11624.08,183760.93,842.19,5974.83,2845.98,1414.81,100766.17,2218.07,0.00,2213554.40,1985294.28,0.00,2390874.65,5103996.30,11693719.62
Urun_18,4588.01,49.85,1126.34,25597.21,24031.34,37509.67,1938.04,4205.80,7421.93,4290.08,18855.43,715.89,45226.19,34248.81,12134.06,168012.68,302159.32,2255042.49,470391.58,739735.02,71823.31,45290.76,270842.06,172174.24,7273.55,6294.84,3193440.02,99115.34,224375.62,257043.46,56668.47,3071.58,1006.58,9770.15,3521.40,119559.30,2774.08,1855.71,97732.09,3855.89,19576.97,2276.94,2755.45,272170.75,321525.10,18809.97,24676.22,1370.79,38369.70,25055.75,19753.49,1452.82,10693.01,55060.96,234492.61,7331.17,16455.51,1216.50,3027.87,5714.03,11.18,253044.50,80255.36,0.00,10219864.83,6219466.20,0.00,4837992.15,16571887.52,37849210.70
Urun_19,79022.22,6289.88,674.56,37601.11,15680.04,8816.89,2691.08,6749.08,1775.13,2430.85,4493.26,10779.52,11228.73,34883.15,28375.51,97852.36,64997.53,349784.41,665328.05,629951.34,31182.34,13749.29,57972.18,1490.30,1680.77,16728.06,1046969.19,72696.05,22820.07,7590.04,6494.97,49.36,0.00,20780.75,372.66,2895.71,410.93,91.56,27.08,2568.64,0.57,0.00,160.67,24578.63,29850.16,152.78,2960.64,858.37,0.00,7043.12,117.78,0.00,2702.75,7734.59,31173.44,6045.76,54742.93,164.68,72.09,7935.04,396.96,41545.04,2434.78,0.00,3586645.41,381673.20,0.00,16849353.82,14449347.16,35267019.59
Urun_20,204044.92,2957.95,0.00,5010.13,130.76,2.75,47.55,109.14,624.67,21.59,481.44,1.84,184.16,6385.13,231.73,10000.04,18309.05,2326.44,428237.94,5605349.92,28248.41,2553.99,7602.18,77.26,2644.72,926.04,17217.26,1488945.72,5181.15,11064.50,532354.30,0.00,0.00,228.94,13.68,234.53,0.00,0.00,0.00,685.25,0.00,0.00,0.00,837.98,1036.35,66.73,0.00,64.95,0.00,0.00,1349.45,0.00,304.20,3041.18,13296.15,0.00,6948.34,0.00,0.00,948.34,15301.08,303.70,2638.18,0.00,8428571.72,6429922.66,0.00,12134278.30,27797980.55,54790753.24
